"KMETIJSKI PRIDELEK";"2000 Kolièina";"2000 Povpreèna cena";"2001 Kolièina";"2001 Povpreèna cena";"2002 Kolièina";"2002 Povpreèna cena";"2003 Kolièina";"2003 Povpreèna cena";"2004 Kolièina";"2004 Povpreèna cena";"2005 Kolièina";"2005 Povpreèna cena";"2006 Kolièina";"2006 Povpreèna cena";"2007 Kolièina";"2007 Povpreèna cena";"2008 Kolièina";"2008 Povpreèna cena";"2009 Kolièina";"2009 Povpreèna cena";"2010 Kolièina";"2010 Povpreèna cena";"2011 Kolièina";"2011 Povpreèna cena";"2012 Kolièina";"2012 Povpreèna cena";"2013 Kolièina";"2013 Povpreèna cena";"2014 Kolièina";"2014 Povpreèna cena";"2015 Kolièina";"2015 Povpreèna cena";"2016 Kolièina";"2016 Povpreèna cena";"2017 Kolièina";"2017 Povpreèna cena";"2018 Kolièina";"2018 Povpreèna cena";"2019 Kolièina";"2019 Povpreèna cena";"2020 Kolièina";"2020 Povpreèna cena";"2021 Kolièina";"2021 Povpreèna cena"
"Krompir, jedilni (zgodnji in pozni) (kg)";1300240;0.41;1383015;0.44;1114680;0.44;934246;0.65;903689;0.63;855809;0.49;783974;0.58;979309;0.87;998312;0.88;878824;0.86;802210;0.84;759661;1.03;654640;1.05;503556;0.96;392616;1.09;358455;0.91;417135;0.99;426210;1.03;426602;1.06;458720;1.12;411341;1.06;428462;1.20
"Fižol, v zrnju (kg)";163009;2.15;154736;2.43;112316;2.68;75149;2.76;75093;2.83;76228;3.16;86579;3.53;91708;4.51;76382;5.06;136450;4.03;84814;5.91;64413;6.14;69984;5.97;46181;5.69;56599;5.80;72034;5.57;73019;5.47;65801;5.64;30073;5.30;29177;5.64;78209;5.43;78183;5.57
"Fižol, stroèji (kg)";75983;1.86;78427;2.16;126026;2.00;84819;2.63;78783;2.02;64230;2.25;67106;2.90;74969;3.52;71985;3.95;84271;3.72;71578;3.98;66424;4.21;36139;4.81;37995;4.24;40497;3.95;54115;5.18;59526;4.75;60178;5.37;36284;4.51;37837;4.24;69703;5.27;72154;5.56
"Grah, stroèji (kg)";27522;1.76;22656;2.00;21385;2.13;6962;3.10;11112;2.50;19624;2.60;5870;3.03;14890;3.81;5671;3.55;16183;4.41;20932;3.67;18620;4.58;12282;5.23;15026;3.69;15597;3.92;9776;5.80;8021;3.33;7724;3.58;8433;4.00;7752;4.03;6578;3.63;8389;3.74
"Èebula (kg)";444095;0.79;401323;0.88;313779;1.01;270486;1.04;291218;1.09;291788;1.13;307040;1.17;287062;1.32;393838;1.28;339371;1.15;316352;1.53;280869;1.69;235506;1.78;219393;1.74;151142;1.77;155257;2.02;198593;2.22;206602;1.99;179143;1.94;209360;1.97;197841;2.27;214134;2.42
"Èesen (kg)";150751;2.14;126688;2.24;91309;2.31;79617;2.53;88370;2.64;80642;3.16;78388;3.96;90899;5.41;99150;5.24;81206;4.82;84132;5.92;65584;8.25;74305;8.37;139237;8.84;61737;8.27;72817;8.16;77675;7.36;74381;8.09;40999;9.22;36870;9.75;76595;7.83;80908;7.95
"Por (kg)";-;-;-;-;-;-;33207;2.12;43308;2.20;64778;2.08;76611;2.25;100726;2.30;79699;2.50;77089;2.46;81059;2.76;84134;2.71;71102;2.50;92415;3.03;88580;2.91;101805;2.83;110560;3.00;110650;2.75;74780;3.11;84496;3.72;114465;3.03;116791;3.47
"Belo zelje (kg)";404710;0.55;469463;0.62;339854;0.67;255012;0.83;216989;0.85;259696;0.74;267421;0.82;277202;0.95;286949;1.00;216652;1.07;181359;1.12;150132;1.29;129252;1.39;126934;1.47;127958;1.32;128647;1.23;133037;1.26;134585;1.24;153767;1.44;170363;1.89;172970;1.88;135461;1.37
"Rdeèe zelje (kg)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36769;1.36;30685;1.84;38737;1.70;40133;1.60;45885;1.64;51995;1.63;47905;1.69;25405;1.50;30227;1.96;50186;1.77;63340;1.97
"Kitajski kapus (kg)";-;-;-;-;-;-;6529;1.54;13329;1.62;18264;1.82;28645;1.57;23266;1.69;16358;1.87;27715;1.80;20495;1.81;13591;1.96;11925;2.40;5330;1.99;560;1.63;4720;2.42;5410;2.43;5060;2.45;6440;2.49;7205;2.51;6896;2.55;7630;2.86
"Ohrovt (kg)";139397;1.10;148662;1.18;120184;1.22;81809;1.46;77553;1.54;90577;1.40;89522;1.49;110419;1.49;79464;1.70;64403;1.88;61773;2.00;68280;2.04;61030;2.14;70399;2.13;76573;2.15;95272;2.26;106702;2.19;101005;2.24;79394;2.89;100781;2.93;106357;2.25;71494;2.34
"Cvetaèa in brokoli (kg)";184705;1.50;177228;1.61;142724;1.72;106750;2.18;110450;1.96;125550;2.01;143326;2.38;187256;2.35;154592;2.52;87861;2.62;93356;2.50;89317;2.80;93261;2.61;99265;2.61;107853;2.67;127778;2.83;141574;2.78;149809;2.83;147546;3.15;145481;3.53;142329;2.85;144657;2.96
"Korenèek (kg)";278242;0.90;268959;1.04;202691;1.16;163068;1.24;164777;1.31;190476;1.29;193058;1.37;185607;1.35;192518;1.47;164197;1.70;165778;2.01;116209;1.88;111847;1.97;115135;1.85;112995;1.83;138020;2.11;141455;2.05;142508;2.09;157586;1.92;157816;1.98;139516;2.04;143526;2.28
"Paradižnik (kg)";263534;1.03;238616;1.17;192653;1.23;153020;1.34;133871;1.22;150058;1.55;164551;1.69;210886;2.01;199758;2.09;224580;1.96;174979;1.87;137038;2.27;116907;1.99;128169;1.96;136365;2.41;149953;2.59;176197;2.62;177352;2.73;175305;3.36;177911;3.35;179300;3.03;188147;3.08
"Paprika (kg)";168695;1.34;166722;1.67;140488;1.53;104097;1.79;79514;1.74;97889;1.62;108397;1.79;118833;2.23;128279;2.45;132786;2.36;126890;2.08;106836;2.21;89595;2.00;96202;2.26;87023;2.42;110092;2.90;103899;2.86;94037;2.91;69521;2.99;72931;2.97;102692;2.88;107594;3.15
"Jajèevec (kg)";65891;1.37;75956;1.55;60686;1.90;47506;1.89;33844;1.62;52618;1.73;51735;2.01;69597;2.23;58352;2.69;51013;2.68;54653;2.11;53750;2.89;44970;2.60;49075;3.04;53034;2.69;66645;3.10;66505;3.11;68160;3.13;42990;3.49;42195;3.55;63942;3.27;66927;3.46
"Špinaèa (kg)";104220;2.13;101038;2.53;71335;2.54;59341;2.64;64337;2.53;70755;2.89;75967;3.34;71869;3.55;74401;4.20;72128;4.60;66854;4.24;58643;4.26;53507;4.84;64284;4.47;58356;4.79;62888;6.45;73473;6.09;74292;6.26;34572;6.64;34198;6.71;73055;6.17;172923;6.44
"Zelena solata (kg)";1058120;1.55;876584;1.96;636002;2.10;408653;2.00;462232;1.70;636398;1.83;529106;1.99;762544;2.30;747076;2.32;541885;2.31;504959;2.34;306889;2.68;306746;2.25;306945;2.25;283800;2.33;275678;2.65;317916;2.63;321344;2.70;303345;3.08;306315;3.39;299992;2.89;322456;2.90
"Endivija (kg)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103021;2.46;136196;2.29;33595;2.06;120160;2.24;115390;2.16;139070;2.16;156675;2.13;177720;2.38;206630;2.38;153597;2.06;155634;1.94
"Radiè, vse vrste (kg)";-;-;118681;2.74;130609;3.13;120475;3.18;126050;3.17;141840;3.15;184865;3.44;276329;3.04;223807;3.34;140317;3.67;165084;4.16;158086;4.33;151065;4.09;131217;3.82;146755;3.88;162691;3.95;167826;3.81;177030;3.94;172860;3.85;173080;3.99;173941;4.16;183866;4.81
"Motovilec (kg)";-;-;24324;6.55;22973;6.68;19901;6.70;20474;6.98;28830;7.48;40848;8.10;43236;7.72;35789;10.36;38658;10.59;37670;10.32;36288;11.56;34847;10.74;22212;9.00;46859;8.22;59981;7.94;74561;7.98;74095;7.99;53852;8.17;50630;8.36;75844;8.19;77746;8.72
"Kumare, solatne (kg)";186111;0.87;159854;1.02;123468;1.13;79138;1.14;59758;1.00;87524;1.16;93385;1.40;193103;1.20;98128;1.76;85878;2.00;89557;1.75;72825;2.06;60639;2.36;55083;2.23;82198;1.84;107544;2.45;123148;2.57;123871;2.60;151578;3.18;151160;3.25;121544;2.70;122588;3.15
"Kumare, za vlaganje (kg)";-;-;-;-;-;-;35404;1.33;38110;1.29;35845;1.34;32748;1.46;38250;1.89;39360;1.84;17425;2.63;20373;1.91;16000;2.08;20370;2.15;10950;1.87;17401;2.22;13365;2.56;13850;2.61;16688;2.15;20090;2.34;18385;2.86;9976;3.05;10137;3.39
"Buèke (kg)";75802;1.08;75482;1.46;65518;1.34;47023;1.58;42371;1.25;67146;1.52;73230;1.61;84173;1.80;72099;1.94;60981;2.25;55289;2.15;61744;2.48;44997;2.34;57457;2.27;58212;2.26;59315;2.80;75835;2.55;79410;2.67;61255;3.38;58535;3.47;77274;2.60;78880;3.00
"Rdeèa pesa (kg)";101708;0.86;108870;0.87;94042;1.05;55541;1.17;68940;1.24;91852;1.25;100919;1.37;106063;1.55;97361;1.62;75150;1.69;87093;1.53;73255;1.97;66488;1.63;67331;1.71;59632;1.77;70987;1.74;88109;1.70;91925;1.77;93123;1.98;95059;1.96;91029;1.68;91750;1.88
"Lubenice in dinje (kg)";125829;0.58;93884;0.80;43386;0.74;179079;0.74;169450;0.98;162533;0.83;63050;1.16;87880;1.39;37907;0.57;52748;1.36;91690;1.09;57626;1.80;40605;1.70;56700;1.69;32585;1.38;26385;1.11;29020;1.65;36110;1.33;52870;1.66;66345;1.87;31446;1.70;39715;1.67
"Šparglji in beluši (kg)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11368;8.08;10580;10.05;6502;7.30;10004;10.59;7900;9.70;8995;9.78;8560;9.61;9190;11.03;9475;11.19;9315;10.51;9872;10.48
"Sveže slive in èešplje (kg)";66767;0.99;93696;1.10;39801;1.24;40539;1.29;36913;1.09;21530;1.30;51110;1.33;54710;1.56;28586;1.92;57172;1.70;59658;1.75;30375;2.11;36751;2.12;38500;1.73;26590;1.94;27639;2.06;25186;2.28;23443;2.33;25770;2.34;24435;2.45;27331;2.52;24602;2.68
"Suhe slive (kg)";25720;2.81;24345;2.99;9665;3.12;9300;3.77;6123;3.77;2090;2.75;7107;1.97;1721;2.45;7114;3.92;13272;3.33;19491;3.90;11110;4.48;13341;5.57;10549;5.19;5386;5.09;18355;5.03;15993;4.95;15009;4.92;15961;5.95;14971;6.80;14971;5.63;16499;6.24
"Namizna jabolka (kg)";982505;0.62;961812;0.68;770507;0.80;754468;0.83;720898;0.90;687457;0.80;691738;0.83;784003;1.06;805490;1.32;670738;1.38;544971;1.32;380309;1.58;411029;1.53;399580;1.51;237545;1.39;243843;1.52;262331;1.54;223750;1.61;203018;1.62;203535;1.71;272530;1.62;283506;1.86
"Hruške (kg)";208112;1.16;155145;1.23;111012;1.31;101630;1.47;107491;1.35;89450;1.37;100916;1.42;152433;1.71;137100;2.05;103549;2.14;118216;1.84;85740;2.30;64290;2.48;80800;2.65;71137;2.37;95627;2.14;115538;2.16;104016;2.34;87034;2.00;78974;2.84;124302;2.20;127402;2.43
"Èešnje (kg)";102490;2.10;110900;2.82;136660;2.65;65410;3.39;86130;3.64;55561;3.33;67485;3.32;100950;4.52;81132;5.95;86681;5.40;72904;5.20;62378;4.77;33735;4.75;49675;4.78;63865;5.24;58000;5.38;65581;5.15;67547;5.83;66475;4.44;60005;4.51;72725;5.32;58220;6.28
"Višnje (kg)";15282;1.86;11519;2.02;8360;2.37;3373;2.83;6330;2.42;6685;2.93;2293;3.00;4374;3.24;5199;5.20;10201;4.41;11247;4.15;7290;3.12;2370;4.79;530;3.61;845;5.27;1625;4.35;1000;5.99;988;4.84;1830;4.69;1500;5.93;934;5.56;880;5.77
